index,hub,latitude,longitude
337,17494,29.23326,-99.79041
338,17495,25.9095,-97.51393
339,17496,27.80594,-97.4057
340,17497,28.69545,-97.23434
341,17498,29.72659,-95.44727
342,17499,29.65331,-95.44865
343,17500,29.73271,-95.00734
344,17501,29.94206,-93.94977
345,17502,32.32726,-96.05038
346,17503,32.19586,-95.81117
347,17504,31.35904,-94.7469
348,17505,31.34732,-94.61595
349,17506,30.51746,-97.69283
350,17507,30.63113,-97.66856
351,17508,29.33047,-94.96902
352,17510,29.72981,-95.25122
353,17511,29.78722,-95.31619
354,17512,29.76321,-95.3107
355,17514,29.74719,-95.11665
356,17515,29.81178,-94.91992
357,17516,29.72432,-94.89561
358,17517,34.29883,-99.73317
359,17518,25.96539,-97.36465
360,17519,32.66963,-94.17155
361,17520,33.46504,-94.30176
362,17521,33.36156,-94.24344
363,17522,31.11949,-97.73079
364,17523,35.94543,-101.45367
365,17524,33.03578,-94.71748
366,17525,31.56158,-97.12009
367,17526,32.66077,-95.48346
368,17527,32.46872,-95.38358
369,17528,33.21408,-97.1259
370,17529,33.315,-97.17896
371,17530,33.11896,-97.02907
372,17531,33.59934,-101.85869
373,17532,30.73303,-96.56575
374,17533,29.74426,-98.10207
375,17534,29.87651,-97.93967
376,17535,29.55761,-95.82022
377,17536,29.32772,-96.1002
378,17537,29.44124,-95.02727
379,17538,30.21834,-93.83752
380,17539,29.85337,-93.97304
381,17540,28.79892,-96.99686
382,17541,36.0235,-101.98775
383,17542,33.58353,-96.59114
384,17543,31.74874,-106.4884
385,17544,31.74873,-106.48269
386,17545,33.16454,-95.10184
387,17546,29.28202,-98.36267
388,17547,33.41546,-94.05075
389,17548,33.01305,-96.54149
390,17549,29.65991,-95.43147
391,17550,29.66798,-95.44621
392,17551,29.78343,-95.42688
393,17552,29.76505,-95.35738
394,17553,29.77107,-95.39581
395,17555,29.77348,-95.34853
396,17556,29.7722,-95.36287
397,17557,29.72329,-95.28123
398,17558,29.75586,-95.29271
399,17559,29.71896,-95.27402
400,17560,29.78773,-95.31096
401,17561,29.78438,-95.34866
402,17562,29.80743,-95.29138
403,17563,32.73199,-97.35976
404,17564,32.74202,-97.33978
405,17565,32.73442,-97.32263
406,17566,32.69859,-97.34236
407,17567,32.72139,-97.34354
408,17568,32.70036,-97.35356
409,17569,32.34525,-97.3804
410,17570,32.34418,-97.37775
411,17571,32.71127,-97.32668
412,17572,32.3831,-96.85033
413,17575,32.74323,-97.31299
414,17576,32.74606,-97.32092
415,17579,32.75609,-97.3219
416,17580,32.75751,-97.32126
417,17581,32.80803,-97.3203
418,17582,32.86035,-97.36119
419,17583,32.78755,-97.34006
420,17584,32.95861,-97.35472
421,17585,33.17621,-97.14746
422,17586,32.74063,-96.75539
423,17587,32.72014,-96.68735
424,17588,32.73387,-96.75571
425,17589,32.95469,-96.90876
426,17590,32.95488,-96.90848
427,17591,32.16095,-96.57495
428,17592,32.09099,-96.46175
429,17593,31.57086,-97.10965
430,17594,31.48039,-97.24763
431,17595,30.86839,-96.58446
432,17596,30.2581,-97.71535
433,17597,29.24304,-100.08481
434,17598,29.43396,-98.47668
435,17599,29.64088,-98.24724
436,17600,29.63218,-98.262
437,17601,29.63348,-98.25296
438,17602,29.53558,-98.38905
439,17603,29.54619,-98.43422
440,17604,29.45038,-98.41785
441,17605,29.42668,-98.39488
442,17606,29.58342,-97.97087
443,17607,29.89154,-97.92657
444,17609,29.78604,-95.80623
445,17610,29.71867,-95.2043
446,17611,29.72069,-95.08347
447,17612,30.07523,-94.09938
448,17613,30.19368,-93.86296
449,17614,30.08423,-93.73566
450,17615,30.05496,-93.76268
451,17616,30.07011,-94.17114
452,17617,30.07632,-94.12552
453,17618,33.92293,-98.49872
454,17619,33.9333,-98.55653
455,17620,33.85992,-98.59059
456,17621,35.22807,-101.86571
457,17622,35.21252,-101.82953
458,17623,35.19252,-102.09532
459,17624,31.77968,-106.51768
460,17625,34.13077,-99.1525
461,17626,29.90526,-95.50397
462,17627,30.38836,-96.09115
463,17628,30.46628,-96.20363
464,17629,30.63585,-96.36702
465,17630,29.88287,-95.57524
466,17632,29.94794,-95.28459
467,17633,29.86749,-95.12897
468,17634,30.87337,-95.38557
469,17635,30.94254,-95.3728
470,17636,30.59061,-97.69478
471,17637,31.13536,-97.33923
472,17638,32.77639,-96.66944
473,17639,32.67244,-95.71682
474,17640,32.28276,-94.46878
475,17641,30.02304,-95.40266
476,17642,29.35933,-100.9146
477,17643,30.3723,-103.67236
478,17644,31.69511,-106.3199
479,17645,32.50723,-100.3304
480,17648,32.38759,-100.87492
481,17649,33.59042,-101.84421
482,17650,34.1924,-101.69423
483,17651,34.1899,-101.69225
484,17652,34.18478,-101.65668
485,17653,34.19374,-101.70633
486,17654,34.53355,-101.77768
487,17655,34.81206,-102.40204
488,17656,34.17926,-102.65633
489,17657,31.85758,-102.34087
490,17658,31.26674,-105.56268
491,17659,35.11287,-101.36279
492,17660,31.25877,-105.65263
493,17661,31.24352,-105.79253
494,17662,31.99721,-102.0699
495,17663,31.34496,-94.73372
496,17666,31.81807,-94.49409
497,17667,30.92195,-93.98648
498,17668,30.34819,-94.07539
499,17669,30.34857,-94.17063
500,17670,30.34569,-94.17563
501,17671,30.12073,-94.41019
502,17672,30.03702,-94.41472
503,17673,30.09137,-94.11389
504,17674,30.07988,-94.11163
505,17675,30.07593,-94.11169
506,17676,30.07679,-94.11132
507,17677,30.08359,-94.09851
508,17678,28.7899,-97.00671
509,17679,28.80078,-96.99545
510,17680,29.09164,-97.29733
511,17681,29.70732,-96.53873
512,17682,31.35381,-96.17461
513,17683,31.62677,-96.28564
514,17684,32.24519,-96.50136
515,17685,32.34084,-95.32744
516,17686,31.79916,-95.18475
517,17687,31.49293,-95.48027
518,17688,31.7611,-95.63097
519,17689,33.14856,-94.97638
520,17690,33.14644,-94.97348
521,17691,33.14441,-95.59589
522,17692,32.77936,-96.81122
523,17693,33.13351,-96.12927
524,17694,33.2,-96.61029
525,17695,33.28749,-97.21814
